match_id,team_a,team_b,result,team_a_avg_distance_covered_km,team_b_avg_distance_covered_km,diff_avg_distance_covered_km,team_a_avg_minutes_played,team_b_avg_minutes_played,diff_avg_minutes_played,team_a_avg_pass_accuracy,team_b_avg_pass_accuracy,diff_avg_pass_accuracy,team_a_avg_player_rating,team_b_avg_player_rating,diff_avg_player_rating,team_a_avg_possession_impact,team_b_avg_possession_impact,diff_avg_possession_impact,team_a_avg_stamina_score,team_b_avg_stamina_score,diff_avg_stamina_score,team_a_avg_top_speed_kmh,team_b_avg_top_speed_kmh,diff_avg_top_speed_kmh,team_a_total_assists,team_b_total_assists,diff_total_assists,team_a_total_clearances,team_b_total_clearances,diff_total_clearances,team_a_total_creativity_score,team_b_total_creativity_score,diff_total_creativity_score,team_a_total_defensive_contribution,team_b_total_defensive_contribution,diff_total_defensive_contribution,team_a_total_expected_assists_xa,team_b_total_expected_assists_xa,diff_total_expected_assists_xa,team_a_total_expected_goals_xg,team_b_total_expected_goals_xg,diff_total_expected_goals_xg,team_a_total_goals,team_b_total_goals,diff_total_goals,team_a_total_interceptions,team_b_total_interceptions,diff_total_interceptions,team_a_total_key_passes,team_b_total_key_passes,diff_total_key_passes,team_a_total_offensive_contribution,team_b_total_offensive_contribution,diff_total_offensive_contribution,team_a_total_saves,team_b_total_saves,diff_total_saves,team_a_total_shots,team_b_total_shots,diff_total_shots,team_a_total_shots_on_target,team_b_total_shots_on_target,diff_total_shots_on_target,team_a_total_tackles,team_b_total_tackles,diff_total_tackles
M00001,Spain,South Africa,W,4.107692307692308,4.030769230769231,0.07692307692307754,37.34615384615385,37.0,0.3461538461538467,0.7815384615384615,0.8200000000000001,-0.03846153846153855,3.511538461538462,3.480769230769231,0.030769230769231104,3.273076923076923,3.284615384615385,-0.011538461538461942,81.06923076923077,80.40384615384616,0.6653846153846104,16.715384615384615,17.315384615384616,-0.6000000000000014,1.0,1.0,0.0,11.0,18.0,-7.0,1289.3999999999999,1151.4,137.99999999999977,1324.6999999999998,1415.1999999999998,-90.5,0.93,0.28,0.65,1.33,0.060000000000000005,1.27,3.0,2.0,1.0,17.0,13.0,4.0,14.0,14.0,0.0,1237.1999999999998,1212.3000000000002,24.899999999999636,4.0,1.0,3.0,16.0,16.0,0.0,3.0,2.0,1.0,13.0,26.0,-13.0
M00001,South Africa,Spain,L,4.030769230769231,4.107692307692308,-0.07692307692307754,37.0,37.34615384615385,-0.3461538461538467,0.8200000000000001,0.7815384615384615,0.03846153846153855,3.480769230769231,3.511538461538462,-0.030769230769231104,3.284615384615385,3.273076923076923,0.011538461538461942,80.40384615384616,81.06923076923077,-0.6653846153846104,17.315384615384616,16.715384615384615,0.6000000000000014,1.0,1.0,0.0,18.0,11.0,7.0,1151.4,1289.3999999999999,-137.99999999999977,1415.1999999999998,1324.6999999999998,90.5,0.28,0.93,-0.65,0.060000000000000005,1.33,-1.27,2.0,3.0,-1.0,13.0,17.0,-4.0,14.0,14.0,0.0,1212.3000000000002,1237.1999999999998,-24.899999999999636,1.0,4.0,-3.0,16.0,16.0,0.0,2.0,3.0,-1.0,26.0,13.0,13.0
M00002,Peru,Netherlands,W,3.4692307692307693,4.1230769230769235,-0.6538461538461542,32.92307692307692,36.61538461538461,-3.6923076923076934,0.8200000000000001,0.7961538461538462,0.02384615384615385,3.4692307692307693,3.4615384615384617,0.007692307692307665,2.3884615384615384,3.6423076923076922,-1.2538461538461538,79.79230769230769,84.97307692307692,-5.180769230769229,17.546153846153846,17.265384615384615,0.28076923076923066,1.0,4.0,-3.0,14.0,21.0,-7.0,1093.7,1316.6000000000001,-222.9000000000001,1331.3,1418.6000000000001,-87.30000000000018,0.31000000000000005,0.33,-0.019999999999999962,0.55,0.09,0.4600000000000001,2.0,1.0,1.0,21.0,16.0,5.0,15.0,10.0,5.0,1183.3,1297.2000000000003,-113.90000000000032,3.0,4.0,-1.0,8.0,13.0,-5.0,1.0,1.0,0.0,23.0,14.0,9.0
M00002,Netherlands,Peru,L,4.1230769230769235,3.4692307692307693,0.6538461538461542,36.61538461538461,32.92307692307692,3.6923076923076934,0.7961538461538462,0.8200000000000001,-0.02384615384615385,3.4615384615384617,3.4692307692307693,-0.007692307692307665,3.6423076923076922,2.3884615384615384,1.2538461538461538,84.97307692307692,79.79230769230769,5.180769230769229,17.265384615384615,17.546153846153846,-0.28076923076923066,4.0,1.0,3.0,21.0,14.0,7.0,1316.6000000000001,1093.7,222.9000000000001,1418.6000000000001,1331.3,87.30000000000018,0.33,0.31000000000000005,0.019999999999999962,0.09,0.55,-0.4600000000000001,1.0,2.0,-1.0,16.0,21.0,-5.0,10.0,15.0,-5.0,1297.2000000000003,1183.3,113.90000000000032,4.0,3.0,1.0,13.0,8.0,5.0,1.0,1.0,0.0,14.0,23.0,-9.0
M00003,Morocco,Senegal,L,3.8,4.046153846153846,-0.24615384615384617,36.34615384615385,38.19230769230769,-1.8461538461538467,0.8196153846153845,0.8038461538461539,0.015769230769230647,3.9000000000000004,3.9423076923076925,-0.04230769230769216,3.2038461538461536,2.730769230769231,0.47307692307692273,82.06923076923077,82.12307692307692,-0.05384615384615188,19.553846153846152,19.988461538461536,-0.43461538461538396,2.0,1.0,1.0,22.0,20.0,2.0,1280.3,1235.2000000000003,45.09999999999968,1385.0,1468.3,-83.29999999999995,0.08,0.49,-0.41,0.72,0.35,0.37,2.0,1.0,1.0,10.0,14.0,-4.0,13.0,9.0,4.0,1279.0,1136.7,142.29999999999995,0.0,3.0,-3.0,12.0,8.0,4.0,1.0,0.0,1.0,17.0,29.0,-12.0
M00003,Senegal,Morocco,W,4.046153846153846,3.8,0.24615384615384617,38.19230769230769,36.34615384615385,1.8461538461538467,0.8038461538461539,0.8196153846153845,-0.015769230769230647,3.9423076923076925,3.9000000000000004,0.04230769230769216,2.730769230769231,3.2038461538461536,-0.47307692307692273,82.12307692307692,82.06923076923077,0.05384615384615188,19.988461538461536,19.553846153846152,0.43461538461538396,1.0,2.0,-1.0,20.0,22.0,-2.0,1235.2000000000003,1280.3,-45.09999999999968,1468.3,1385.0,83.29999999999995,0.49,0.08,0.41,0.35,0.72,-0.37,1.0,2.0,-1.0,14.0,10.0,4.0,9.0,13.0,-4.0,1136.7,1279.0,-142.29999999999995,3.0,0.0,3.0,8.0,12.0,-4.0,0.0,1.0,-1.0,29.0,17.0,12.0
M00004,Algeria,Italy,W,3.9269230769230767,3.9923076923076923,-0.0653846153846156,35.15384615384615,34.30769230769231,0.8461538461538467,0.7865384615384615,0.828846153846154,-0.04230769230769249,3.642307692307692,3.68076923076923,-0.038461538461538325,2.7423076923076923,3.5461538461538455,-0.8038461538461532,82.8153846153846,79.36153846153846,3.4538461538461434,18.896153846153844,18.792307692307695,0.10384615384614904,1.0,0.0,1.0,25.0,18.0,7.0,1253.3999999999999,1123.7,129.69999999999982,1387.3000000000002,1404.8,-17.499999999999773,0.17,0.34,-0.17,0.15,0.13,0.01999999999999999,2.0,0.0,2.0,22.0,16.0,6.0,14.0,10.0,4.0,1235.3,1185.8,49.5,1.0,5.0,-4.0,9.0,10.0,-1.0,2.0,1.0,1.0,15.0,13.0,2.0
M00004,Italy,Algeria,L,3.9923076923076923,3.9269230769230767,0.0653846153846156,34.30769230769231,35.15384615384615,-0.8461538461538467,0.828846153846154,0.7865384615384615,0.04230769230769249,3.68076923076923,3.642307692307692,0.038461538461538325,3.5461538461538455,2.7423076923076923,0.8038461538461532,79.36153846153846,82.8153846153846,-3.4538461538461434,18.792307692307695,18.896153846153844,-0.10384615384614904,0.0,1.0,-1.0,18.0,25.0,-7.0,1123.7,1253.3999999999999,-129.69999999999982,1404.8,1387.3000000000002,17.499999999999773,0.34,0.17,0.17,0.13,0.15,-0.01999999999999999,0.0,2.0,-2.0,16.0,22.0,-6.0,10.0,14.0,-4.0,1185.8,1235.3,-49.5,5.0,1.0,4.0,10.0,9.0,1.0,1.0,2.0,-1.0,13.0,15.0,-2.0
M00005,Brazil,Netherlands,D,3.8576923076923078,4.0576923076923075,-0.19999999999999973,35.80769230769231,36.65384615384615,-0.8461538461538467,0.8196153846153847,0.8134615384615386,0.006153846153846176,3.2423076923076923,3.9692307692307693,-0.726923076923077,3.173076923076923,4.265384615384615,-1.0923076923076924,81.81153846153848,85.34999999999998,-3.5384615384615046,16.98846153846154,20.20384615384615,-3.215384615384611,1.0,0.0,1.0,25.0,34.0,-9.0,1170.4,1306.7000000000003,-136.30000000000018,1331.3000000000002,1390.7,-59.399999999999864,0.1,0.52,-0.42000000000000004,0.09000000000000001,0.13,-0.039999999999999994,1.0,1.0,0.0,24.0,23.0,1.0,13.0,8.0,5.0,1135.1999999999998,1347.2,-212.00000000000023,2.0,2.0,0.0,11.0,10.0,1.0,0.0,0.0,0.0,16.0,22.0,-6.0
M00005,Netherlands,Brazil,D,4.0576923076923075,3.8576923076923078,0.19999999999999973,36.65384615384615,35.80769230769231,0.8461538461538467,0.8134615384615386,0.8196153846153847,-0.006153846153846176,3.9692307692307693,3.2423076923076923,0.726923076923077,4.265384615384615,3.173076923076923,1.0923076923076924,85.34999999999998,81.81153846153848,3.5384615384615046,20.20384615384615,16.98846153846154,3.215384615384611,0.0,1.0,-1.0,34.0,25.0,9.0,1306.7000000000003,1170.4,136.30000000000018,1390.7,1331.3000000000002,59.399999999999864,0.52,0.1,0.42000000000000004,0.13,0.09000000000000001,0.039999999999999994,1.0,1.0,0.0,23.0,24.0,-1.0,8.0,13.0,-5.0,1347.2,1135.1999999999998,212.00000000000023,2.0,2.0,0.0,10.0,11.0,-1.0,0.0,0.0,0.0,22.0,16.0,6.0
